"baseline_stress" "one_year_stress"
"1" 7.17524989596822 7.84433724628178
"2" 4.91834325439621 5.52719053421333
"3" 4.6342655429623 5.78304645677097
"4" 5.67133970753556 7.79395604140051
"5" 4.14125667217428 3.13388920050525
"6" 4.77169552495409 8.54858599752415
"7" 5.18794430108232 6.28370548889868
"8" 5.68873874119031 7.10131534648189
"9" 5.3487539804465 6.22418600925555
"10" 7.1215575502253 7.78313753602494
"11" 3.4487376101297 4.32844797485498
"12" 4.29517592248131 3.47314809276486
"13" 4.4571495259686 4.97308870755618
"14" 4.57868620623275 5.86685810985149
"15" 5.24591462281783 5.18596983255254
"16" 6.17943020478271 4.76661770550438
"17" 6.18456623782645 6.72654204676715
"18" 4.98166948116184 4.72433933757356
"19" 4.21381749454998 4.14108880236632
"20" 4.40227457996367 5.03520991451064
"21" 5.98906644826249 5.12982550837243
"22" 4.58056577293444 5.94031436504349
"23" 4.1368454875017 4.40469770262382
"24" 4.18422039967549 5.78980558521323
"25" 4.44628560107937 7.44359931750599
"26" 5.04187743615055 5.81195865369207
"27" 5.36026929714333 4.20243693106706
"28" 4.96679189472123 4.16533489574019
"29" 3.41138751626207 2.14400519781372
"30" 5.45320762231154 5.53052740378797
"31" 4.36358655288664 3.14812595283294
"32" 5.34969927631079 6.27993688560787
"33" 2.85151120437709 2.56180429492307
"34" 4.40000134381251 4.02634542392375
"35" 7.74654594641153 8.59454150487375
"36" 5.48431589746284 5.03613401116609
"37" 5.49268449034986 5.69975107166783
"38" 4.94254441771029 6.19682434874806
"39" 4.67985470251346 4.93940288222945
"40" 5.36537818380337 6.99398946847658
"41" 5.64734508166019 5.35698332672993
"42" 6.9337086895419 6.73670659417533
"43" 3.44830489955171 2.81397299998224
"44" 4.86665448369935 5.64965720801759
"45" 3.01970299383919 4.32149242508366
"46" 5.62782885347481 7.06512100935094
"47" 4.27911514082794 4.62678910277114
"48" 4.8996422152661 6.7674996532317
"49" 5.06619138970201 4.7282441819327
"50" 5.95725905246456 6.70855373161656
"51" 4.72980868961449 2.94934758181494
"52" 4.10963907125949 5.57646009448369
"53" 5.66742185004825 5.54543145038168
"54" 5.22683562085157 4.72741117103726
"55" 5.09678383480483 5.87542956214198
"56" 5.94020837401323 5.88581529382059
"57" 5.22984045365095 4.58847983280444
"58" 5.17313838893153 5.03970450130153
"59" 2.89515267874838 4.02771391311627
"60" 3.78977139084414 2.69992136468128
"61" 5.14256409251354 6.03224488670512
"62" 6.53635181401591 5.77571081612243
"63" 4.46414249992187 4.71938612902892
"64" 5.71317732643123 6.86405783518936
"65" 5.27480618084606 7.22407110497188
"66" 4.58672637205943 5.67969180954494
"67" 5.99525369050766 7.98941102881117
"68" 5.14371843663197 2.63522154093171
"69" 6.84214244724934 7.47350826983222
"70" 5.61729816654631 7.46171422611414
"71" 4.96646580034157 6.15165005112734
"72" 4.28554733223319 4.42248925172557
"73" 4.33036337233587 4.47848148240227
"74" 5.06896484739235 5.21316267127849
"75" 5.56681300081733 4.8540579802088
"76" 4.95217346098508 5.45653055315844
"77" 6.0676222251496 7.23674416383333
"78" 6.33523884959786 5.544976643535
"79" 5.04435614793858 5.42842113958848
"80" 6.39355072557241 5.97604912732841
"81" 7.2454913660389 7.66983568453031
"82" 6.21878920819163 5.68579660746193
"83" 4.4814708651873 3.97223769097545
"84" 5.70875286880192 6.92104282942083
"85" 4.866466284479 5.7906057494949
"86" 6.03191171817363 5.96453888102768
"87" 5.56181290959069 6.12321248278313
"88" 3.30617498218435 3.14268249480049
"89" 4.99092548634377 6.12363614949617
"90" 4.2813072304313 5.5587218054126
"91" 6.52758691912696 5.63811099933496
"92" 4.24000468880683 4.09836132916974
"93" 5.14333187242016 5.52089376527662
"94" 5.59357541678966 4.79279560401573
"95" 5.06655990907769 5.85599304513525
"96" 5.45865964766241 4.56215394401794
"97" 6.63563680367729 6.65467814350242
"98" 5.94783974671916 6.83582688151163
"99" 3.12452688279344 3.71311146866091
"100" 3.57898380038085 4.16871513409875
"101" 5.0500951006295 4.60541509030104
"102" 6.13183744476002 5.90351026717732
"103" 3.20733668633962 4.23193359843914
"104" 4.25384836686999 5.5951023886663
"105" 3.69589488815171 4.30575264579089
"106" 3.24621581810184 3.85033120705283
"107" 3.52993164809456 3.14509358692776
"108" 3.75795689520229 5.06842463906879
"109" 3.28176296354404 4.06680416690548
"110" 5.21688771424976 7.07260011932207
"111" 4.5050199720745 6.11707249063628
"112" 4.97750004607918 3.77082365969865
"113" 6.15988338617989 5.31243279638445
"114" 6.02100430142272 5.94914675699903
"115" 5.78075394539933 6.90016715057024
"116" 5.20360190401319 4.36357252267744
"117" 6.16030892522787 9.29841120202449
"118" 5.62742589408541 7.91454160031186
"119" 7.23106230746556 7.51766831533484
"120" 4.69592243689923 4.74164892636008
